Share of GDP,Country,Number of Active Military Personnel (2022),Percentage Change (vs. 2021),Country, Military Spending ,,,
0.016,People's Republic of China,2035000,0,People's Republic of China," $292,000,000,000.00 ",,,
0.024,India,1460350,0.0013,India," $81,000,000,000.00 ",,,
0.035,United States of America,1395350,0.0052,United States of America," $877,000,000,000.00 ",,,
0.041,Russia,900000,0,Russia," $86,000,000,000.00 ",,,
0.026,Pakistan,651800,0,Pakistan," $10,000,000,000.00 ",,,
0.026,Iran,610000,0,Iran," $7,000,000,000.00 ",,,
0.027,South Korea,555000,-0.0735,South Korea," $46,000,000,000.00 ",,,
0.011,Egypt,438500,0,Egypt," $5,000,000,000.00 ",,,
0.007,Indonesia,395500,0,Indonesia," $9,000,000,000.00 ",,,
0.011,Brazil,366500,0,Brazil," $20,000,000,000.00 ",,,
0.012,Thailand,360850,0,Thailand," $6,000,000,000.00 ",,,
0.03,Myanmar,356000,-0.1232,Myanmar," $2,000,000,000.00 ",,,
0.012,Turkey,355200,0,Turkey," $11,000,000,000.00 ",,,
0.074,Saudi Arabia,257000,0.1322,Saudi Arabia," $75,000,000,000.00 ",,,
0.031,Colombia,255950,-0.127,Colombia," $10,000,000,000.00 ",,,
0.014,Sri Lanka,255000,0,Sri Lanka," $1,000,000,000.00 ",,,
0.011,Japan,247150,0,Japan," $46,000,000,000.00 ",,,
0.006,Mexico,216000,0,Mexico," $9,000,000,000.00 ",,,
0.019,France,203250,0,France," $54,000,000,000.00 ",,,
0.335,Ukraine,196600,-0.0593,Ukraine," $44,000,000,000.00 ",,,
0.039,Morocco,195800,0,Morocco," $5,000,000,000.00 ",,,
0.017,Iraq,193000,0,Iraq," $5,000,000,000.00 ",,,
0.014,Germany,183400,-0.0005,Germany," $56,000,000,000.00 ",,,
0.045,Israel,169500,0,Israel," $23,000,000,000.00 ",,,
0.016,Taiwan,169000,0.0368,Taiwan," $13,000,000,000.00 ",,,
0.011,Bangladesh,163050,0,Bangladesh," $5,000,000,000.00 ",,,
0.017,Italy,161550,-0.0239,Italy," $33,000,000,000.00 ",,,
0.022,United Kingdom,153200,0.0316,United Kingdom," $68,000,000,000.00 ",,,
0.01,Philippines,145300,0.0154,Philippines," $4,000,000,000.00 ",,,
0.037,Greece,143300,0.0042,Greece," $8,000,000,000.00 ",,,
0.006,Nigeria,143000,0,Nigeria," $3,000,000,000.00 ",,,
0.048,Algeria,139000,0.0692,Algeria," $9,000,000,000.00 ",,,
0.009,Ethiopia,138000,0,Ethiopia," $1,000,000,000.00 ",,,
0.006,Democratic Republic of the Congo,134250,0,Democratic Republic of the Congo," $371,000,000.00 ",,,
0.021,Cambodia,124300,0,Cambodia," $611,000,000.00 ",,,
0.015,Spain,122850,0,Spain," $20,000,000,000.00 ",,,
0.024,Poland,114050,0,Poland," $17,000,000,000.00 ",,,
0.01,Malaysia,113000,0,Malaysia," $4,000,000,000.00 ",,,
0.013,Angola,107000,0,Angola," $2,000,000,000.00 ",,,
0.048,Jordan,100500,0,Jordan," $2,000,000,000.00 ",,,
0.011,Nepal,96600,0,Nepal," $428,000,000.00 ",,,
0.012,Peru,81000,0,Peru," $3,000,000,000.00 ",,,
0.007,South Africa,74000,-0.0067,South Africa," $3,000,000,000.00 ",,,
0.004,Argentina,72100,0,Argentina," $3,000,000,000.00 ",,,
0.017,Romania,71500,0.0438,Romania," $5,000,000,000.00 ",,,
0.018,Chile,68500,-0.1127,Chile," $6,000,000,000.00 ",,,
0.045,Azerbaijan,66950,0,Azerbaijan," $3,000,000,000.00 ",,,
0.012,Canada,66500,-0.0134,Canada," $27,000,000,000.00 ",,,
0.019,Australia,59600,0.0171,Australia," $32,000,000,000.00 ",,,
0.007,Dominican Republic,56050,0,Dominican Republic," $761,000,000.00 ",,,
0.003,Moldova,55150,9.7087,Moldova," $48,000,000.00 ",,,
0.03,South Sudan,53000,-0.7135,South Sudan," $379,000,000.00 ",,,
0.028,Singapore,51000,0,Singapore," $12,000,000,000.00 ",,,
0.012,Belarus,47950,0.0573,Belarus," $821,000,000.00 ",,,
0.021,Uganda,45000,0,Uganda," $923,000,000.00 ",,,
0.043,Armenia,42900,-0.0424,Armenia," $795,000,000.00 ",,,
0.052,Oman,42600,0,Oman," $6,000,000,000.00 ",,,
0.022,Ecuador,41250,0,Ecuador," $2,000,000,000.00 ",,,
0.005,Kazakhstan,39000,0,Kazakhstan," $1,000,000,000.00 ",,,
0.015,Bulgaria,36950,0,Bulgaria," $1,000,000,000.00 ",,,
0.025,Tunisia,35800,0,Tunisia," $1,000,000,000.00 ",,,
0.015,Hungary,34200,0.2302,Hungary," $3,000,000,000.00 ",,,
0.015,Bolivia,34100,0,Bolivia," $640,000,000.00 ",,,
0.016,Netherlands,33600,0,Netherlands," $16,000,000,000.00 ",,,
0.029,Chad,33500,0.0075,Chad," $357,000,000.00 ",,,
0.014,Rwanda,33000,0,Rwanda," $177,000,000.00 ",,,
0.028,Burundi,30050,0,Burundi," $101,000,000.00 ",,,
0.004,Zimbabwe,29000,0,Zimbabwe," $182,000,000.00 ",,,
0.023,Serbia,28150,0,Serbia," $1,000,000,000.00 ",,,
0.009,Ivory Coast,27400,0,Ivory Coast," $607,000,000.00 ",,,
0.014,Portugal,27250,0,Portugal," $4,000,000,000.00 ",,,
0.011,Tanzania,27000,0,Tanzania," $832,000,000.00 ",,,
0.014,Czech Republic,26600,0.0683,Czech Republic," $4,000,000,000.00 ",,,
0.009,Cameroon,25400,0,Cameroon," $417,000,000.00 ",,,
0.016,Norway,25400,0.1365,Norway," $8,000,000,000.00 ",,,
0.013,El Salvador,24500,0,El Salvador," $422,000,000.00 ",,,
0.01,Kenya,24100,0,Kenya," $1,000,000,000.00 ",,,
0.008,Austria,23300,0.0567,Austria," $4,000,000,000.00 ",,,
0.025,Lithuania,23000,0.0455,Lithuania," $2,000,000,000.00 ",,,
0.019,Uruguay,21100,0.0048,Uruguay," $1,000,000,000.00 ",,,
0.028,Mali,21000,0.6154,Mali," $515,000,000.00 ",,,
0.014,Georgia,20650,0,Georgia," $360,000,000.00 ",,,
0.008,Switzerland,19550,0,Switzerland," $6,000,000,000.00 ",,,
0.017,Finland,19250,-0.1912,Finland," $5,000,000,000.00 ",,,
0.005,Guatemala,18050,0,Guatemala," $431,000,000.00 ",,,
0.018,Slovakia,17950,0.1325,Slovakia," $2,000,000,000.00 ",,,
0.045,Kuwait,17500,0,Kuwait," $8,000,000,000.00 ",,,
0.022,Croatia,16700,0.0987,Croatia," $1,000,000,000.00 ",,,
0.07,Qatar,16500,0,Qatar," $15,000,000,000.00 ",,,
0.023,Mauritania,15850,0,Mauritania," $225,000,000.00 ",,,
0.004,Ghana,15500,0,Ghana," $229,000,000.00 ",,,
0.014,Denmark,15400,0,Denmark," $5,000,000,000.00 ",,,
0.012,Zambia,15100,0,Zambia," $326,000,000.00 ",,,
0.015,Honduras,14950,0.031,Honduras," $478,000,000.00 ",,,
0.013,Sweden,14600,0,Sweden," $8,000,000,000.00 ",,,
0.008,Paraguay,13950,0,Paraguay," $366,000,000.00 ",,,
0.016,Senegal,13600,0,Senegal," $433,000,000.00 ",,,
0.007,Madagascar,13500,0,Madagascar," $98,000,000.00 ",,,
0.018,Cyprus,12000,-0.2,Cyprus," $494,000,000.00 ",,,
0.005,Nicaragua,12000,0,Nicaragua," $84,000,000.00 ",,,
0.031,Burkina Faso,11200,0,Burkina Faso," $563,000,000.00 ",,,
0.015,Mozambique,11200,0,Mozambique," $282,000,000.00 ",,,
0.015,Kyrgyzstan,10900,0,Kyrgyzstan," $150,000,000.00 ",,,
0.006,Malawi,10700,0,Malawi," $76,000,000.00 ",,,
0.008,Bosnia and Herzegovina,10500,0,Bosnia and Herzegovina," $184,000,000.00 ",,,
0.018,Republic of the Congo,10000,0,Republic of the Congo," $266,000,000.00 ",,,
0.03,Namibia,9900,0,Namibia," $369,000,000.00 ",,,
0.012,New Zealand,9750,0.0372,New Zealand," $3,000,000,000.00 ",,,
0.006,Mongolia,9700,0,Mongolia," $118,000,000.00 ",,,
0.017,Central African Republic,9150,0,Central African Republic," $42,000,000.00 ",,,
0.027,Botswana,9000,0,Botswana," $489,000,000.00 ",,,
0.01,Tajikistan,8800,0,Tajikistan," $103,000,000.00 ",,,
0.02,Latvia,8750,0.4,Latvia," $849,000,000.00 ",,,
0.002,Ireland,8550,-0.0229,Ireland," $1,000,000,000.00 ",,,
0.054,Togo,8550,0,Togo," $337,000,000.00 ",,,
0.006,Sierra Leone,8500,0,Sierra Leone," $25,000,000.00 ",,,
0.032,Bahrain,8200,0,Bahrain," $1,000,000,000.00 ",,,
0.016,Republic of Macedonia,8000,0,Republic of Macedonia," $225,000,000.00 ",,,
0.016,Albania,7500,-0.0625,Albania," $289,000,000.00 ",,,
0.006,Benin,7250,0,Benin," $97,000,000.00 ",,,
0.024,Brunei,7200,0,Brunei," $436,000,000.00 ",,,
0.021,Estonia,7200,0.0141,Estonia," $811,000,000.00 ",,,
0.012,Slovenia,6950,0,Slovenia," $735,000,000.00 ",,,
0.013,Jamaica,5950,0,Jamaica," $215,000,000.00 ",,,
0.012,Belgium,5900,-0.764,Belgium," $7,000,000,000.00 ",,,
0.017,Niger,5300,0,Niger," $243,000,000.00 ",,,
0.013,Gabon,4700,0,Gabon," $278,000,000.00 ",,,
0.007,Trinidad and Tobago,4650,0.0109,Trinidad and Tobago," $201,000,000.00 ",,,
0.007,The Gambia,4100,0,The Gambia," $15,000,000.00 ",,,
0.014,Fiji,4040,0,Fiji," $67,000,000.00 ",,,
0.003,Papua New Guinea,4000,0.1111,Papua New Guinea," $97,000,000.00 ",,,
0.006,Guyana,3400,0,Guyana," $84,000,000.00 ",,,
0.016,Montenegro,2350,0,Montenegro," $98,000,000.00 ",,,
0.011,East Timor,2280,0,East Timor," $44,000,000.00 ",,,
0.013,Liberia,2010,0,Liberia," $19,000,000.00 ",,,
0.015,Lesotho,2000,0,Lesotho," $35,000,000.00 ",,,
0.005,Malta,1700,0,Malta," $87,000,000.00 ",,,
0.009,Belize,1500,0,Belize," $24,000,000.00 ",,,
0.011,Equatorial Guinea,1450,0,Equatorial Guinea," $157,000,000.00 ",,,
0.001,Haiti,500,0,Haiti," $13,000,000.00 ",,,
0.014,Seychelles,420,0,Seychelles," $26,000,000.00 ",,,
0.007,Luxembourg,410,0,Luxembourg," $565,000,000.00 ",,,
0.002,Mauritius,0,-1,Mauritius," $20,000,000.00 ",,,
